actor	status: initialised
actor	source	file:videos/Angel On My Shoulder 1946 Paul Muni, Anne Baxter & Claude Rains [yKZ27wOKHWI].webm
actor	next video index: 17
actor	seekable: false	duration: 6084221
actor	position	120108
actor	captured	0.004496s
actor	updated	0.007145s
actor	event id: 1000	time 0.0539605s
actor	event id: 2000	time 0.0156851s
actor	event id: 3000	time 0.0616498s
actor	event id: 4000	time 0.0601327s
actor	event id: 5000	time 0.0623042s
actor	event id: 6000	time 0.0472932s
actor	event id: 7000	time 0.0230459s
actor	event id: 8000	time 0.0168748s
actor	event id: 9000	time 0.020363s
actor	event id: 10000	time 0.0221525s
actor	event id: 11000	time 0.0620131s
actor	event id: 12000	time 0.00853561s
actor	event id: 13000	time 0.0102937s
actor	event id: 14000	time 0.00570233s
actor	event id: 15000	time 0.00744849s
actor	event id: 16000	time 0.0309265s
actor	event id: 17000	time 0.0524571s
actor	event id: 18000	time 0.0183309s
actor	event id: 19000	time 0.0142377s
actor	event id: 20000	time 0.0113281s
actor	event id: 21000	time 0.0138384s
actor	event id: 22000	time 0.0099525s
actor	event id: 23000	time 0.0288592s
actor	event id: 24000	time 0.0121838s
actor	event id: 25000	time 0.00950966s
actor	event id: 26000	time 0.00701131s
actor	event id: 27000	time 0.0105676s
actor	event id: 28000	time 0.0111641s
actor	event id: 29000	time 0.0131506s
actor	event id: 30000	time 0.00713859s
actor	event id: 31000	time 0.013688s
actor	event id: 32000	time 0.00843303s
actor	event id: 33000	time 0.0294875s
actor	event id: 34000	time 0.00969685s
actor	event id: 35000	time 0.0145302s
actor	event id: 36000	time 0.0112611s
actor	event id: 37000	time 0.00922862s
actor	event id: 38000	time 0.00849689s
actor	event id: 39000	time 0.00811137s
actor	event id: 40000	time 0.00991144s
actor	event id: 41000	time 0.012192s
actor	event id: 42000	time 0.00765771s
actor	event id: 43000	time 0.00866685s
actor	event id: 44000	time 0.00909117s
actor	event id: 45000	time 0.0120972s
actor	event id: 46000	time 0.00820526s
actor	event id: 47000	time 0.00970754s
actor	event id: 48000	time 0.00770106s
actor	event id: 49000	time 0.0105283s
actor	event id: 50000	time 0.00588565s
actor	event id: 51000	time 0.00845069s
actor	event id: 52000	time 0.00883452s
actor	event id: 53000	time 0.00856472s
actor	event id: 54000	time 0.00738368s
actor	event id: 55000	time 0.0104513s
actor	event id: 56000	time 0.00687766s
actor	event id: 57000	time 0.00632136s
actor	event id: 58000	time 0.00929905s
actor	event id: 59000	time 0.011274s
actor	event id: 60000	time 0.00598381s
actor	event id: 61000	time 0.00846619s
actor	event id: 62000	time 0.00837615s
actor	event id: 63000	time 0.00903461s
actor	event id: 64000	time 0.00800744s
actor	event id: 65000	time 0.00989209s
actor	event id: 66000	time 0.00929976s
actor	event id: 67000	time 0.0088758s
actor	event id: 68000	time 0.00891741s
actor	event id: 69000	time 0.0210234s
actor	event id: 70000	time 0.0154658s
actor	event id: 71000	time 0.0131431s
actor	event id: 72000	time 0.0135414s
actor	event id: 73000	time 0.011394s
actor	event id: 74000	time 0.00976218s
actor	event id: 75000	time 0.0160501s
actor	event id: 76000	time 0.0206232s
actor	event id: 77000	time 0.0122149s
actor	event id: 78000	time 0.0131788s
actor	event id: 79000	time 0.0620075s
actor	source	file:videos/Anna and The King Of Siam 1946 Irene Dunne & Rex Harrison [RI6ofc-h8mU].webm
actor	next video index: 18
actor	seekable: false	duration: 7382281
actor	event id: 80000	time 0.0097332s
actor	event id: 81000	time 0.00878071s
actor	event id: 82000	time 0.0061135s
actor	event id: 83000	time 0.00469471s
actor	event id: 84000	time 0.00491769s
actor	event id: 85000	time 0.00534029s
actor	event id: 86000	time 0.00616985s
actor	event id: 87000	time 0.00420863s
actor	event id: 88000	time 0.00495522s
actor	event id: 89000	time 0.00705428s
actor	event id: 90000	time 0.00304548s
actor	event id: 91000	time 0.00485844s
actor	event id: 92000	time 0.00454195s
actor	event id: 93000	time 0.00405783s
actor	event id: 94000	time 0.00383279s
actor	event id: 95000	time 0.00467101s
actor	event id: 96000	time 0.0330469s
actor	event id: 97000	time 0.00441695s
actor	event id: 98000	time 0.00375405s
actor	event id: 99000	time 0.00338391s
actor	event id: 100000	time 0.0038652s
actor	event id: 101000	time 0.00365654s
actor	event id: 102000	time 0.00511857s
actor	event id: 103000	time 0.00329751s
actor	event id: 104000	time 0.00516235s
actor	event id: 105000	time 0.00539321s
actor	event id: 106000	time 0.00406867s
actor	event id: 107000	time 0.00368231s
actor	event id: 108000	time 0.00532366s
actor	event id: 109000	time 0.00537598s
actor	event id: 110000	time 0.00563462s
actor	event id: 111000	time 0.00542643s
actor	event id: 112000	time 0.00702729s
actor	event id: 113000	time 0.00848062s
actor	event id: 114000	time 0.00569254s
actor	event id: 115000	time 0.00399275s
actor	event id: 116000	time 0.0047895s
actor	event id: 117000	time 0.00341827s
actor	event id: 118000	time 0.00409217s
actor	event id: 119000	time 0.00556288s
actor	event id: 120000	time 0.00429343s
actor	event id: 121000	time 0.0148278s
actor	event id: 122000	time 0.00394738s
actor	event id: 123000	time 0.00738492s
actor	event id: 124000	time 0.00334782s
actor	event id: 125000	time 0.0034503s
actor	event id: 126000	time 0.00415042s
actor	event id: 127000	time 0.00472564s
actor	event id: 128000	time 0.00426923s
actor	event id: 129000	time 0.00565295s
actor	event id: 130000	time 0.00465321s
actor	event id: 131000	time 0.00528051s
actor	event id: 132000	time 0.00364856s
actor	event id: 133000	time 0.00528946s
actor	event id: 134000	time 0.00513722s
actor	event id: 135000	time 0.00446218s
actor	event id: 136000	time 0.00444804s
actor	event id: 137000	time 0.00381738s
actor	event id: 138000	time 0.00367099s
actor	event id: 139000	time 0.00352859s
actor	event id: 140000	time 0.00524177s
actor	event id: 141000	time 0.00400239s
actor	event id: 142000	time 0.00421889s
actor	event id: 143000	time 0.007267s
actor	event id: 144000	time 0.00518468s
actor	event id: 145000	time 0.00744593s
actor	event id: 146000	time 0.00400639s
actor	event id: 147000	time 0.00389177s
actor	event id: 148000	time 0.00896261s
actor	event id: 149000	time 0.00756033s
actor	event id: 150000	time 0.00346522s
actor	event id: 151000	time 0.006527s
actor	event id: 152000	time 0.0319238s
actor	event id: 153000	time 0.0100737s
actor	event id: 154000	time 0.00495977s
actor	event id: 155000	time 0.00428034s
actor	event id: 156000	time 0.00566797s
actor	event id: 157000	time 0.00440474s
actor	event id: 158000	time 0.00691077s
actor	event id: 159000	time 0.00730657s
actor	event id: 160000	time 0.00843188s
actor	event id: 161000	time 0.00412247s
actor	event id: 162000	time 0.006076s
actor	event id: 163000	time 0.0340388s
actor	event id: 164000	time 0.00461429s
actor	event id: 165000	time 0.0054652s
actor	event id: 166000	time 0.0344171s
actor	event id: 167000	time 0.00568219s
actor	event id: 168000	time 0.00550064s
actor	event id: 169000	time 0.00582715s
actor	event id: 170000	time 0.00561667s
actor	event id: 171000	time 0.00614194s
actor	event id: 172000	time 0.0119771s
actor	event id: 173000	time 0.00539633s
actor	event id: 174000	time 0.0103006s
actor	event id: 175000	time 0.00278914s
actor	source	file:videos/Brute Force 1947 Burt Lancaster & Howard Duff [FT-saMC8b4w].webm
actor	next video index: 19
actor	seekable: false	duration: 6049781
actor	event id: 176000	time 0.00984703s
actor	event id: 177000	time 0.0391381s
actor	event id: 178000	time 0.00874973s
actor	event id: 179000	time 0.00840551s
actor	event id: 180000	time 0.0225977s
actor	event id: 181000	time 0.0089417s
actor	event id: 182000	time 0.034798s
actor	event id: 183000	time 0.00692355s
actor	event id: 184000	time 0.0108954s
actor	event id: 185000	time 0.00977527s
actor	event id: 186000	time 0.0120291s
actor	event id: 187000	time 0.00709887s
actor	event id: 188000	time 0.0119374s
actor	event id: 189000	time 0.00736087s
actor	event id: 190000	time 0.00692899s
actor	event id: 191000	time 0.00836679s
actor	event id: 192000	time 0.00684889s
actor	event id: 193000	time 0.00607194s
actor	event id: 194000	time 0.00626475s
actor	event id: 195000	time 0.00624508s
actor	event id: 196000	time 0.00521028s
actor	event id: 197000	time 0.0080809s
actor	event id: 198000	time 0.0127843s
actor	event id: 199000	time 0.0083518s
actor	event id: 200000	time 0.00783608s
actor	event id: 201000	time 0.00776846s
actor	event id: 202000	time 0.00729916s
actor	event id: 203000	time 0.0164829s
actor	event id: 204000	time 0.013906s
actor	event id: 205000	time 0.00972068s
actor	event id: 206000	time 0.00693048s
actor	event id: 207000	time 0.00662105s
actor	event id: 208000	time 0.00605468s
actor	event id: 209000	time 0.00685497s
actor	event id: 210000	time 0.0543276s
actor	event id: 211000	time 0.0110258s
actor	event id: 212000	time 0.00692507s
actor	event id: 213000	time 0.00741259s
actor	event id: 214000	time 0.00623575s
actor	event id: 215000	time 0.00707706s
actor	event id: 216000	time 0.0107381s
actor	event id: 217000	time 0.0132158s
actor	event id: 218000	time 0.00639197s
actor	event id: 219000	time 0.00557765s
actor	event id: 220000	time 0.00726193s
actor	event id: 221000	time 0.00637283s
actor	event id: 222000	time 0.00788118s
actor	event id: 223000	time 0.00792535s
actor	event id: 224000	time 0.00730657s
actor	event id: 225000	time 0.0117962s
actor	event id: 226000	time 0.00823481s
actor	event id: 227000	time 0.013606s
actor	event id: 228000	time 0.008919s
actor	event id: 229000	time 0.00947921s
